Company_id;Reference_date_month;Product;Sub_product;TYPE_ID_Coverage_GSM;TYPE_ID_Coverage_UMTS;TYPE_ID_Coverage_LTE;CNT_EMPLOYEE;Sector;Sub_sector;Turnover;Revenue_Scale;ZIP;Data_usage;Voice_usage;Monthly_expense;N_lines
378;2019-10-01 00:00:00;FB;FB M 2.0;indoor;outdoor;indoor;61;65;674;6000000;5.000.001 - 25.000.000;80636;10.4334411621094;3204.466667;315.775895;9
378;2019-10-01 00:00:00;FB;FB S 2.0;indoor;outdoor;indoor;61;65;674;6000000;5.000.001 - 25.000.000;80636;1.36681461334229;102.016667;40.23116;2
378;2019-11-01 00:00:00;FB;FB M 2.0;indoor;outdoor;indoor;61;65;674;6000000;5.000.001 - 25.000.000;80636;2.85575199127197;1361.6;257.001454;9
378;2019-11-01 00:00:00;FB;FB S 2.0;indoor;outdoor;indoor;61;65;674;6000000;5.000.001 - 25.000.000;80636;0.412856101989746;148.733333;40.201042;2
386;2019-09-01 00:00:00;FB;FB L 2.0;indoor;no_coverage;indoor;119;32;366;7705782;5.000.001 - 25.000.000;27432;7.60191917419434;805.971429;95.859609;2
386;2019-09-01 00:00:00;FB;FB M 2.0;indoor;no_coverage;indoor;119;32;366;7705782;5.000.001 - 25.000.000;27432;446.958213806152;20462.671432;3309.053083;100
386;2019-10-01 00:00:00;FB;FB L 2.0;indoor;no_coverage;indoor;119;32;366;7705782;5.000.001 - 25.000.000;27432;6.65689373016357;598.490476;113.898479;2
386;2019-10-01 00:00:00;FB;FB M 2.0;indoor;no_coverage;indoor;119;32;366;7705782;5.000.001 - 25.000.000;27432;393.797129631042;14318.023793;3281.211521;100
386;2019-11-01 00:00:00;FB;FB L 2.0;indoor;no_coverage;indoor;119;32;366;7705782;5.000.001 - 25.000.000;27432;6.30898952484131;831.354445;83.315453;2
386;2019-11-01 00:00:00;FB;FB M 2.0;indoor;no_coverage;indoor;119;32;366;7705782;5.000.001 - 25.000.000;27432;328.220593452454;14486.688896;4439.790556;100
408;2019-09-01 00:00:00;FB;FB M 2.0;indoor;indoor;indoor;75;44;550;;;12681;2.46451950073242;27.716667;2080.23616;69
408;2019-10-01 00:00:00;FB;FB M 2.0;indoor;indoor;indoor;75;44;550;;;12681;4.61695098876953;8.566666;2080.046111;69
408;2019-11-01 00:00:00;FB;FB M 2.0;indoor;indoor;indoor;75;44;550;;;12681;6.71389198303223;6.416665;2080.033108;69
431;2019-09-01 00:00:00;FB;FB M 2.0;indoor;indoor;indoor;56;27;315;;;71679;1.77412796020508;819.583333;47.419127;1
431;2019-10-01 00:00:00;FB;FB M 2.0;indoor;indoor;indoor;56;27;315;;;71679;0.190719604492188;739.95;44.769859;1
431;2019-11-01 00:00:00;FB;FB M 2.0;indoor;indoor;indoor;56;27;315;;;71679;0.100049018859863;905.016667;45.494639;1
469;2019-09-01 00:00:00;FB;FB L 2.0;indoor;indoor;indoor;78;63;666;10900000;5.000.001 - 25.000.000;13088;0.574755668640137;609.95;111.401568;1
