City;Customer_Flag;Revenue_Scale;Revenue;Sector;Legal_Form_Code;Employee_Scale;TYPE_ID_Coverage_GSM;TYPE_ID_Coverage_UMTS;TYPE_ID_Coverage_LTE;CNT_EMPLOYEE_OLD;CNT_EMPLOYEE;CNT_CB_DENSITY;CNT_CB_MOB_DENSITY;CNT_CB_FN_DENSITY;Mobile_potential_old;Mobile_potential
Kloster Lehnin;0;2.500.001 - 5.000.000;4106420;38;20;20 - 49;291;290;291;25;29;38;37;2;2107.8675492922803;2533.087401694814
Bissendorf;0;2.500.001 - 5.000.000;4400000;27;14;20 - 49;291;291;292;28;29;170;167;12;2090.02014648228;2275.3010070221426
Frankenthal;0;500.001 - 2.500.000;1370000;9;4;10 - 19;291;291;291;11;11;343;340;12;1512.7797632122802;2512.5349375893106
Bochum;0;5.000.001 - 25.000.000;7900000;42;14;20 - 49;291;291;290;24;26;;;;2227.55469571308;3144.6084314411983
Frankfurt;0;5.000.001 - 25.000.000;7800000;36;14;10 - 19;291;291;291;12;17;838;809;76;1720.5935683343994;2538.6273961939705
Ravensburg;0;;;59;31;20 - 49;291;290;291;30;32;;;;2025.50308130748;2158.9169144660887
Heidenheim;0;;;62;3;10 - 19;291;291;291;18;22;53;49;4;2056.33692560868;2245.8786035061967
Rastatt;0;250.001 - 500.000;500000;26;14;10 - 19;291;291;291;10;13;134;133;4;1311.28163128428;2101.9100638399723
Berlin;0;2.500.001 - 5.000.000;4051982;77;14;50 - 99;291;291;291;50;54;3143;3018;320;1910.7077817143997;2498.149386279769
Bayreuth;0;;;9;16;10 - 19;291;291;290;13;17;59;59;3;1601.29060396668;1992.4360912756079
Oelde;0;;;30;14;20 - 49;291;291;291;26;26;58;55;8;1990.5556777666802;2322.852154687979
Ahaus;0;2.500.001 - 5.000.000;4800000;40;14;20 - 49;291;291;291;33;34;60;59;2;3001.0377250582796;3308.936112258195
Renningen;0;2.500.001 - 5.000.000;4500000;27;14;10 - 19;291;291;291;15;17;188;184;9;1691.0197340530794;2316.9832629999405
Hilden;0;2.500.001 - 5.000.000;3800000;43;31;10 - 19;291;291;291;12;12;570;565;27;1615.589016037079;2587.9967056607393
Schwerin;0;2.500.001 - 5.000.000;5000000;43;31;20 - 49;291;290;291;21;24;60;57;7;1980.70520614428;2548.3532188838994
Seligenstadt;0;5.000.001 - 25.000.000;5600000;55;14;20 - 49;291;291;291;23;23;216;212;13;2079.3106965730794;2710.733589032533
